,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,name,speechiness,tempo,time_signature,track_name,type,uri,valence
515,0.0379,0.61,186981,0.58,1.15e-05,0,0.257,-9.947,1,Kris Wu,0.0582,159.962,4,July,chinese,spotify:track:2cu5wDkTV1gWfsXjUbmd89,0.469
516,0.359,0.761,221496,0.613,0.0,0,0.714,-5.286,1,Kris Wu,0.0354,99.964,4,大碗寬麵,chinese,spotify:track:2ZW1uxX9M104rwFNcECfuS,0.547
517,0.32,0.532,320619,0.811,0.0,11,0.0795,-3.467,0,Kris Wu,0.0627,153.917,4,貳參,chinese,spotify:track:6WGXlvkylStnVeDF430AO4,0.342
518,0.142,0.749,264000,0.39,0.0,4,0.101,-7.8,0,Kris Wu,0.0388,100.027,4,Freedom (feat. Jhené Aiko),chinese,spotify:track:1WL6Q6zaMDVE8yyGYwu3zG,0.154
519,0.266,0.625,216106,0.446,0.0,4,0.103,-10.837,0,Kris Wu,0.0443,128.063,4,天地,chinese,spotify:track:4KGR7sqpECiRueUFHdHSLZ,0.209
520,0.00646,0.763,233846,0.545,5.16e-05,11,0.0456,-8.188,0,KnowKnow,0.126,78.019,4,R&B All Night,chinese,spotify:track:6MrVXeEMf0MULWdclDk4sI,0.804
521,0.392,0.891,159184,0.746,0.00112,2,0.0946,-6.333,1,KnowKnow,0.0927,97.996,4,Mr. Bentley,chinese,spotify:track:603FrR2LgWS3X4osiN12XO,0.493
522,0.305,0.793,178983,0.737,0.0,1,0.0945,-5.872,1,KnowKnow,0.237,88.492,4,Face Power (feat. Jackson Wang),chinese,spotify:track:1Q9TJqc5c3MJxU6UG57h9C,0.172
523,0.859,0.461,210667,0.482,0.0,8,0.333,-7.766,0,KnowKnow,0.105,180.205,4,I Love You 3000 III,chinese,spotify:track:6ePZQOeHLZoNCeiM9VMnmx,0.351
524,0.0879,0.808,168000,0.645,0.017,7,0.103,-5.211,1,KnowKnow,0.239,160.092,4,Love Song 4 Me,chinese,spotify:track:5QoZRygiNozzOGDb03SiOF,0.644
525,0.0965,0.744,180923,0.522,0.0,1,0.119,-6.037,1,KnowKnow,0.28,129.982,4,Mafia Cashier,chinese,spotify:track:38ZbNnmyGbqHlYPiElQjom,0.375
526,0.0255,0.811,229787,0.62,0.0,2,0.111,-6.068,0,KnowKnow,0.159,93.999,4,Ik Hou Van Jou (feat. Masiwei),chinese,spotify:track:5ac73HeKkvoYbRA2rFTLbn,0.323
