,type,name,track_name,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
75,bay_area,Beeda Weeda,You Know,spotify:track:7MoAx1ueSaZBI1l93aD0iC,0.855,0.305,1,-6.246,1,0.0681,0.0193,0.0,0.321,0.22,160.055,237513,4
76,bay_area,Beeda Weeda,Aint Mobbin,spotify:track:5T0qgycftwNKaW0GNlWKJ8,0.892,0.615,1,-8.594,1,0.22,0.0262,0.0,0.134,0.482,92.166,228538,4
77,bay_area,Beeda Weeda,2nd Chance,spotify:track:5tUKKi0fDG9JHa0fM52ym1,0.624,0.747,8,-8.332,0,0.421,0.00159,0.0,0.0751,0.763,110.619,258523,5
78,bay_area,Beeda Weeda,Lyin,spotify:track:7fBZ6wUCeQNAfOjr3GaNxF,0.681,0.542,1,-8.689,0,0.14,0.0197,0.0,0.163,0.159,91.525,226404,4
79,bay_area,Beeda Weeda,Drug Dealers,spotify:track:5UxMLKJ2XZktNnCpfbmwsF,0.876,0.656,11,-8.534,0,0.347,0.0052,0.0,0.0731,0.376,90.967,239470,4
80,bay_area,Lil Raider,Still (feat. A-Wax & Shadow),spotify:track:0BSG3cx04kaLEO4yvCSYYm,0.687,0.795,10,-3.647,0,0.0931,0.112,2.91e-05,0.226,0.296,164.007,270890,4
81,bay_area,Lil Raider,We Gone Ride,spotify:track:22y9aSWbWRHDdTWFBcOX2H,0.845,0.756,5,-6.437,1,0.338,0.0668,4.81e-05,0.292,0.802,87.031,175603,4
82,bay_area,Lil Raider,All Falls Down,spotify:track:7akq99WPhr5F0sNLttQLVC,0.781,0.669,9,-5.346,0,0.195,0.155,0.0,0.271,0.529,92.053,234973,4
83,bay_area,Lil Raider,Tired of the Struggle,spotify:track:0z1FHyFBu3vh0Zc12opou6,0.759,0.822,7,-4.879,1,0.238,0.328,0.0,0.294,0.788,81.022,233940,4
84,bay_area,Lil Raider,How Deep is Your Mobb,spotify:track:1pUy5SRObNxja4qEDuSoXN,0.718,0.608,6,-5.32,0,0.19,0.00365,0.0,0.25,0.622,150.034,306205,4
85,bay_area,Lil Raider,Keep It Playa,spotify:track:4nHPSFuxFcOLM2IuYgO1m1,0.683,0.693,9,-7.007,0,0.0812,0.0693,0.0,0.0948,0.251,98.024,185771,4
86,bay_area,Lil Raider,Kick It with You,spotify:track:1AJ8xCvn1uUGzGfFZ8461t,0.7,0.684,11,-6.187,0,0.132,0.137,0.0,0.068,0.76,83.048,237121,4
87,bay_area,Lil Raider,Reminiscin,spotify:track:1A7h25x0XrIYPSRDplgaWC,0.482,0.718,7,-8.39,1,0.178,0.107,0.0,0.354,0.737,130.003,295385,4
88,bay_area,Lil Raider,Ready for the Funk’N (feat. Lil Toro),spotify:track:5efpI123gBXUnFL6lqLYDF,0.812,0.507,0,-7.395,1,0.229,0.0169,0.0,0.0863,0.652,82.009,196396,4
89,bay_area,Lil Raider,Doin' My Thang,spotify:track:3tvNeseuGlqekMpN6m7dgT,0.927,0.643,4,-6.86,0,0.348,0.345,0.0,0.204,0.638,94.98,162978,4
90,bay_area,Dee Cisneros,Young OG (feat. Big Tone),spotify:track:6gtznQJ5mZxUhuViY5hvhX,0.841,0.653,1,-7.157,1,0.342,0.173,0.0,0.0448,0.447,94.95,225847,4
